UsageData 2026-05-12,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,CATIA,FLUIDS,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
SMART CVT,INNER VOLUME,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
DESIGN TOOLKIT,3D TEXT,CATIA,SEALING,Failed,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
DESIGN TOOLKIT,3D TEXT,CATIA,SEALING,Failed,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
DESIGN TOOLKIT,3D TEXT,CATIA,SEALING,Failed,NA,1/8/2025,1/8/2025,TRUE,TRUE
PIN SPACE-PLACE,AXIS SYSTEM,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
PIN SPACE-PLACE,PIN PLACEMENT,CATIA,SEALING,Success,ASIA,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
POLYLINE CREATION,EXECUTION,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
POINT CHART,XYZ NOTES,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,FLUIDS,Success,EU,1/8/2025,1/8/2025,TRUE,FALSE
